=== HSK1 ===
爱|ài|yêu
踪迹|zōngjì|dấu tích
足以|zúyǐ|đủ để…..
走私|zǒusī|buôn lâu
走漏|zǒulòu|tiết lộ, rò rỉ
走廊|zǒuláng|hành lang
赠送|zèngsòng|tặng
赞叹|zàntàn|khen ngợi
赞助|zànzhù|tài trợ
资深|zīshēn|thâm niên
资本|zīběn|tư bản
资助|zīzhù|viện trợ
资产|zīchǎn|tư sản
贼|zéi|kẻ trộm
责怪|zéguài|trách móc
诸位|zhūwèi|chư vị
诈骗|zhàpiàn|lừa gạt
证实|zhèngshí|chứng minh
证书|zhèngshū|giấy chứng nhận, bằng
装备|zhuāngbèi|trang bị
装卸|zhuāngxiè|tháo lắp, bốc dỡ
衷心|zhōngxīn|lòng trung thành
蒸发|zhēngfā|bốc hơi
著作|zhùzuò|tác phẩm
舟|zhōu|thuyền
致辞|zhìcí|đọc diễn văn
致力|zhìlì|dốc sức
致使|zhìshǐ|khiến cho, làm cho
自满|zìmǎn|tự mãn
自发|zìfā|tự phát
自卑|zìbēi|tự ti
自力更生|zìlìgēngshēng|tự lực cánh sinh
自主|zìzhǔ|tự chủ
脂肪|zhīfáng|mỡ
肿瘤|zhǒngliú|sưng vù
职能|zhínéng|chức năng
职务|zhíwù|chức vụ
职位|zhíwèi|chức vị
罪犯|zuìfàn|tội phạm
终身|zhōngshēn|suốt đời
终究|zhōngjiū|cuối cùng
终点|zhōngdiǎn|cuối cùng
终止|zhōngzhǐ|chấm dứt
纵横|zònghéng|ngang dọc
糟蹋|zāotà|lãng phí, làm hại
粥|zhōu|cháo
章程|zhāngchéng|điều lệ
租赁|zūlìn|cho thuê, thuê
种植|zhòngzhí|trồng
种族|zhǒngzú|chủng tộc
种子|zhǒngzi|hạt giống
祖父|zǔfù|ông nội
祖国|zǔguó|tổ quốc
祖先|zǔxiān|tổ tiên
砸|zá|đập, nện, đánh
砖|zhuān|gạch
知足常乐|zhīzúchánglè|biết đủ thường vui
知觉|zhījué|tri giác
瞻仰|zhānyǎng|chiêm ngưỡng
着重|zhuózhòng|nhấn mạnh
着迷|zháomí|say sưa, mê
着手|zhuóshǒu|bắt tay vào việc
着想|zhuóxiǎng|lo nghĩ
眨|zhǎ|nháy
真相|zhēnxiàng|chân tướng
真理|zhēnlǐ|chân lý
真挚|zhēnzhì|chân thành
直播|zhíbō|truyền hình trực tiếp
直径|zhíjìng|đường kính
皱纹|zhòuwén|nếp nhăn
症状|zhèngzhuàng|triệu chứng
琢磨|zhuómó|gọt giũa, vắt óc suy nghĩ
珍贵|zhēnguì|quí báu, quí giá
珍稀|zhēnxī|trân trọng
珍珠|zhēnzhū|ngọc trai
照耀|zhàoyào|chiếu sáng
照样|zhàoyàng|như thường lệ
灾难|zāinàn|thiên tai
滞留|zhìliú|ngưng lại, dừng lại
滋润|zīrùn|ẩm ướt
滋味|zīwèi|hương vị, mùi vị
渣|zhā|cặn
注重|zhùzhòng|chú trọng
注释|zhùshì|chú thích
注视|zhùshì|nhìn chằm chừm
注射|zhùshè|tiêm
沾光|zhānguāng|thơm lây
沼泽|zhǎozé|đầm lầy
治理|zhìlǐ|quản lý
治安|zhìān|trị an
殖民地|zhímíndì|thuộc địa
正负|zhèngfù|chính phụ
正规|zhèngguī|chính qui
正经|zhèngjīng|nghiêm túc, chăm chỉ
正气|zhèngqì|nếp sống lành mạnh, môi trường lành mạnh
正月|zhēngyuè|tháng giêng
正当|zhèngdàng|chính đáng
正宗|zhèngzōng|đúng, chuẩn
正义|zhèngyì|chính nghĩa
棕色|zōngsè|màu nâu
栽培|zāipéi|vun trồng, vun xới
株|zhū|cây
枝|zhī|cành cây, nhánh cây
枕头|zhěntou|gối
杂技|zájì|xiếc
杂交|zájiāo|lai giống, lai ghép
朝气蓬勃|zhāoqìpéngbó|bừng bừng khí thế
暂且|zànqiě|tạm thời
智能|zhìnéng|thông minh (điện thoại)
智商|zhìshāng|IQ
智力|zhìlì|trí lực, trí khôn
昼夜|zhòuyè|ngày đêm
斩钉截铁|zhǎndīngjiétiě|kiên quyết, không do dự
斟酌|zhēnzhuó|suy nghĩ kĩ, xem xét kĩ lưỡng
整顿|zhěngdùn|chỉnh đốn
政策|zhèngcè|chính sách
政权|zhèngquán|chính quyền
支配|zhīpèi|chi phối, sắp xếp
支流|zhīliú|nhánh sông
支柱|zhīzhù|trụ chống
支撑|zhīchēng|chống đỡ, xoay xở
支援|zhīyuán|ủng hộ, chi viện
支出|zhīchū|chi tiêu
攒|zǎn|kiếm
摘要|zhāiyào|đề cương
揍|zòu|đánh, đập vỡ
振奋|zhènfèn|hào hứng, hưng phấn
振兴|zhènxīng|chấn hưng
挣扎|zhēngzhá|vũng vẫy, đấu tranh
指责|zhǐzé|chỉ trích
指示|zhǐshì|cho thấy, báo hiệu
指甲|zhǐjiǎ|móng tay
指标|zhǐbiāo|mức, chỉ tiêu
指望|zhǐwàng|trông chờ
指定|zhǐdìng|chỉ định
指南针|zhǐnánzhēn|la bàn
指令|zhǐlìng|chỉ thị, mệnh lệnh
拽|zhuài/zhuāi|dắt, quăng
招标|zhāobiāo|đấu thầu
招收|zhāoshōu|tuyển sinh, tuyển dụng
拄|zhǔ|chống (gậy)
折腾|zhēteng|trằn trọc, dày vò
折磨|zhémó|giày vò
折|zhé|gấp
执行|zhíxíng|chấp hành
执着|zhízhuó|cố chấp
扎实|zhāshí|vững chắc, chắc chắn
扎|zhā|chích, châm, đâm
战略|zhànlüè|chiến lược
战术|zhànshù|chiến thuật
战斗|zhàndòu|chiến đấu
战役|zhànyì|chiến dịch
总而言之|zǒngéryánzhī|nói tóm lại
总和|zǒnghé|tổng
忠诚|zhōngchéng|trung thành
忠实|zhōngshí|trung thực
志气|zhìqì|chí khí
征服|zhēngfú|chinh phục
征收|zhēngshōu|trưng thu
座右铭|zuòyòumíng|lời răn dạy, khẩu hiệu
庄重|zhuāngzhòng|trang trọng
庄稼|zhuāngjià|hoa màu
庄严|zhuāngyán|trang nghiêm
幢|zhuàng|tòa (nhà)
帐篷|zhàngpéng|lều trại
州|zhōu|châu lục
崭新|zhǎnxīn|mới mẻ
展示|zhǎnshì|trưng bày, thể hiện
展现|zhǎnxiàn|tái hiện, thể hiện
展望|zhǎnwàng|triển vọng
尊严|zūnyán|tôn nghiêm
宰|zǎi|giết, mổ, làm thịt
宗旨|zōngzhǐ|tôn chỉ
宗教|zōngjiào|tôn giáo
子弹|zǐdàn|viên đạn
姿态|zītài|tư thế, điệu bộ
壮观|zhuàngguān|đồ sộ
壮烈|zhuàngliè|lừng lẫy, oanh liệt
壮丽|zhuànglì|tráng lệ
增添|zēngtiān|tăng lên
坠|zhuì|trĩu xuống, rơi
在意|zàiyì|để ý
噪音|zàoyīn|tạp âm
嘴唇|zuǐchún|môi
嘱咐|zhǔfù|căn dặn
咋|zǎ|sao, thế nào
周边|zhōubiān|xung quanh
周转|zhōuzhuǎn|quay vòng (vốn)
周期|zhōuqī|chu kỳ
周折|zhōuzhé|trục trặc
周年|zhōunián|đầy năm
周密|zhōumì|chặt chẽ, kĩ lưỡng
占领|zhànlǐng|chiếm lĩnh
占据|zhànjù|chiếm
卓越|zhuóyuè|lỗi lạc
助理|zhùlǐ|trợ lý
助手|zhùshǒu|trợ thủ
制裁|zhìcái|trừng phạt
制约|zhìyuē|kìm hãm
制止|zhìzhǐ|ngăn chặn, chắn đứng
制服|zhìfú|đồng phục
准则|zhǔnzé|chuẩn mực
再接再厉|zàijiēzàilì|không ngừng cố gắng
值班|zhíbān|trực ban
债券|zhàiquàn|công trái
侦探|zhēntàn|trinh thám
侄子|zhízi|cháu
作风|zuòfēng|tác phong
作息|zuòxī|làm việc và nghỉ ngơi
作弊|zuòbì|gian lận
作废|zuòfèi|bỏ phí
住宅|zhùzhái|nhà ở
传记|zhuànjì|truyện ký
众所周知|zhòngsuǒzhōuzhī|mọi người đều biết
争议|zhēngyì|tranh luận
争端|zhēngduān|tranh chấp
争气|zhēngqì|không chịu thua kém
争夺|zhēngduó|tranh đoạt
争先恐后|zhēngxiānkǒnghòu|tranh lên trước
之际|zhījì|trong hoàn cảnh
主管|zhǔguǎn|chủ quản
主流|zhǔliú|xu hướng chính
主权|zhǔquán|chủ quyền
主导|zhǔdǎo|chủ đạo
主办|zhǔbàn|đăng cai
主义|zhǔyì|chủ nghĩa
中立|zhōnglì|trung lập
中断|zhōngduàn|ngắt quãng, gián đoạn
做主|zuòzhǔ|làm chủ, tự quyết định
中央|zhōngyāng|trung ương
专题|zhuāntí|chuyên đề
专长|zhuāncháng|chuyên môn
专程|zhuānchéng|đặc biệt (chuyến đi)
专利|zhuānlì|bằng sáng chế
